@RELATION genre_model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock}

@DATA
0.083214,0.025242,3.138535,0.167721,0.192856,0.755858,0.007629,0.122525,-23.720100,1.955943,0.112537,0.155209,-0.050558,0.180400,0.066201,0.117385,-0.045374,0.010076,-0.022238,-0.137989,-0.112497,0.022170,0.006255,0.040198,0.010877,0.021736,0.015768,0.047304,0.003386,0.007423,0.012364,0.029957,0.005618,0.025243,0.025935,0.020629,0.160889,0.027057,0.022241,0.309095,0.004019,0.060220,1.356141,0.403850,0.508044,0.298713,0.366117,0.244007,0.265304,0.222647,0.268157,0.266592,0.236089,0.260850,0.242625,0.024875,0.009332,0.030079,0.013623,0.019382,0.018404,0.038361,0.007138,0.011686,0.014255,0.024796,0.007800,0.010477,133.333333,0.108495,blues
0.056152,0.024779,3.067753,0.150488,0.203043,0.391049,0.010651,0.072956,-25.374936,2.603022,0.190469,0.364785,0.146365,0.125119,0.007157,0.070469,-0.037440,-0.021459,-0.043582,-0.084032,-0.007691,0.029933,0.001721,0.071704,0.010769,0.031793,0.011131,0.071104,0.000769,0.003963,0.012046,0.033845,0.005292,0.039075,0.028181,0.022073,0.249942,0.036311,0.027266,0.248542,0.006364,0.056721,1.913650,0.501791,0.524906,0.336696,0.324917,0.278810,0.259041,0.258459,0.237671,0.238008,0.243495,0.236969,0.225484,0.031103,0.002378,0.056194,0.014928,0.027034,0.012945,0.058289,0.001397,0.007075,0.013573,0.028135,0.007243,0.014863,171.428571,0.107375,blues
0.076440,0.046739,3.166010,0.149889,0.173695,0.760123,0.007665,0.125372,-22.535463,2.057850,-0.232439,0.594569,-0.092661,0.141959,-0.060930,0.033793,-0.018188,0.054602,-0.048816,-0.049210,-0.022259,0.015780,0.004662,0.039218,0.023104,0.020139,0.008101,0.026538,0.006146,0.010835,0.018199,0.031321,0.005705,0.021896,0.025483,0.026191,0.138165,0.025995,0.021439,0.316181,0.004602,0.048575,1.314002,0.568875,0.371466,0.295420,0.359980,0.260304,0.237134,0.232703,0.228942,0.235199,0.238413,0.248898,0.222044,0.015944,0.005846,0.026385,0.021853,0.017452,0.009989,0.024088,0.007985,0.012530,0.014052,0.027440,0.007183,0.008690,150.000000,0.141575,blues
0.033336,0.036746,3.110508,0.116026,0.178586,0.190978,0.011285,0.042766,-25.351220,2.931779,-0.086573,0.432773,0.152731,0.318451,0.003114,0.122496,0.081232,0.192579,0.078710,0.052574,0.007376,0.008831,0.004952,0.023822,0.008802,0.021235,0.007606,0.072610,0.001692,0.007163,0.008751,0.132346,0.002553,0.051548,0.018381,0.036940,0.192356,0.028454,0.028500,0.149091,0.009907,0.025505,1.758120,0.446895,0.395382,0.312201,0.266663,0.252257,0.233139,0.249820,0.213486,0.209835,0.205185,0.197568,0.173560,0.009719,0.007200,0.018686,0.012550,0.023363,0.011714,0.070405,0.003264,0.008570,0.008289,0.092101,0.003280,0.019865,171.428571,0.088203,blues
0.101636,0.014469,3.144617,0.175984,0.176808,1.006678,0.007074,0.170770,-24.691777,1.661856,-0.870849,0.018241,-0.198810,0.008181,-0.282420,-0.216309,-0.229323,-0.164605,-0.135336,-0.093400,0.065689,0.007461,0.010468,0.014766,0.012630,0.012845,0.022365,0.010719,0.003362,0.023240,0.005795,0.009370,0.010985,0.015018,0.031262,0.011760,0.184375,0.032791,0.019496,0.380079,0.003914,0.069332,1.548687,0.618776,0.452855,0.313438,0.337243,0.283755,0.270562,0.241191,0.316314,0.288232,0.266716,0.278806,0.258994,0.007435,0.011254,0.012520,0.010979,0.013633,0.020310,0.009768,0.004437,0.022610,0.005352,0.008489,0.015945,0.007379,133.333333,0.117960,blues
0.094113,0.014684,3.178633,0.175202,0.180124,0.757678,0.006508,0.164835,-25.403107,2.232200,-0.357114,-0.011532,-0.177998,-0.035767,-0.344780,-0.115791,-0.195644,-0.102954,-0.233090,-0.077441,0.056477,0.016214,0.004846,0.026534,0.014863,0.016521,0.056190,0.020279,0.001245,0.008463,0.005487,0.024965,0.003963,0.024579,0.039702,0.011931,0.154603,0.040914,0.025359,0.352590,0.005184,0.072157,1.614859,0.629471,0.475198,0.291479,0.313524,0.269002,0.261457,0.247040,0.259949,0.222913,0.229878,0.264963,0.257141,0.016768,0.004619,0.024004,0.016145,0.016702,0.037104,0.013512,0.001719,0.008344,0.006337,0.020215,0.004840,0.010099,200.000000,0.115213,blues
0.073158,0.031757,3.129332,0.148316,0.164786,0.729619,0.009096,0.131049,-24.912141,1.987856,0.254419,0.140020,-0.329308,0.335122,-0.335509,-0.081039,-0.340345,-0.116380,-0.249472,-0.128284,-0.193926,0.022391,0.006653,0.044228,0.023653,0.036321,0.006591,0.009639,0.001887,0.008911,0.011958,0.027738,0.002212,0.027618,0.031909,0.027807,0.224219,0.034266,0.027569,0.391359,0.006690,0.069848,2.066267,0.763860,0.511013,0.355156,0.348426,0.306902,0.281425,0.273482,0.281646,0.259316,0.296934,0.278842,0.255844,0.025819,0.009583,0.040951,0.025765,0.036280,0.009493,0.011333,0.003490,0.010167,0.011513,0.025564,0.003394,0.012494,171.428571,0.098621,blues
0.061461,0.023047,3.108186,0.147983,0.177525,0.590285,0.010049,0.099904,-24.937590,2.332552,0.433299,0.250886,-0.180393,0.218848,-0.215296,-0.050903,-0.330720,-0.211819,-0.213988,-0.153868,-0.097483,0.021430,0.003404,0.062701,0.038021,0.025676,0.022908,0.018689,0.002052,0.008118,0.011531,0.017622,0.004059,0.030026,0.021353,0.018239,0.181066,0.028263,0.025272,0.253563,0.006919,0.046671,1.610178,0.531891,0.500322,0.311972,0.354089,0.282036,0.247204,0.284648,0.235628,0.238591,0.219647,0.271722,0.213034,0.024123,0.004270,0.045855,0.033656,0.021420,0.026596,0.016801,0.004137,0.009613,0.011484,0.016917,0.006494,0.010527,240.000000,0.104741,blues
0.064083,0.034007,3.164373,0.164274,0.199375,0.540298,0.008447,0.091466,-23.646138,2.090512,0.245432,0.232548,0.219666,0.348264,-0.126030,-0.063349,0.110544,0.024918,-0.201391,-0.096229,-0.194089,0.017352,0.002500,0.031816,0.016710,0.013141,0.003625,0.083129,0.001428,0.006251,0.015327,0.086092,0.003120,0.041546,0.027010,0.018984,0.117702,0.032372,0.026287,0.291141,0.004988,0.062310,1.255843,0.428127,0.463873,0.271303,0.279862,0.242489,0.270495,0.223086,0.220388,0.205816,0.224265,0.232074,0.203453,0.019937,0.003977,0.023822,0.017807,0.011105,0.004010,0.084348,0.002002,0.008792,0.014579,0.070735,0.004783,0.019787,171.428571,0.165242,blues
0.079307,0.019276,3.162320,0.170221,0.192782,0.598916,0.008040,0.118424,-25.960753,2.201654,-0.360708,-0.166338,-0.028027,-0.096649,-0.045607,-0.089332,-0.230713,0.031435,-0.003100,0.078121,0.071482,0.022827,0.003736,0.026580,0.013395,0.018444,0.028156,0.041756,0.002341,0.007882,0.010244,0.035431,0.011191,0.028661,0.029290,0.016753,0.145805,0.029635,0.019902,0.293395,0.005291,0.076540,1.560388,0.459883,0.525221,0.350895,0.296439,0.302637,0.278951,0.269601,0.295830,0.281353,0.273894,0.232605,0.258505,0.023935,0.005869,0.024306,0.016856,0.022217,0.025656,0.033463,0.004459,0.008188,0.013083,0.030339,0.013444,0.011236,240.000000,0.083710,blues
